GKZ,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,ÖVP,%,SPÖ,%.1,FPÖ,%.2,GRÜNE,%.3,NEOS,%.4,BIER,%.5,MFG,%.6,BGE,%.7,LMP,%.8,GAZA,%.9,KPÖ,%.10,KEINE,%.11
G41700,Vöcklabruck,103473,83342,1202,82140,21605,26.3,15716,19.13,25772,31.37,6710,8.16,6859,8.35,1976,2.4,790.0,0.96,,0.0,476,0.57,150.0,0.18,1513,1.84,573,0.69
G41701,Ampflwang im Hausruckwald,2452,1912,26,1886,353,18.71,630,33.4,623,33.03,74,3.92,92,4.87,43,2.27,14.0,0.74,,0.0,13,0.68,0.0,0.0,29,1.53,15,0.79
G41702,Attersee am Attersee,1317,1042,12,1030,319,30.97,129,12.52,226,21.94,164,15.92,138,13.39,20,1.94,14.0,1.35,,0.0,4,0.38,0.0,0.0,11,1.06,5,0.48
G41703,Attnang-Puchheim,5398,3713,44,3669,705,19.21,1027,27.99,1158,31.56,243,6.62,242,6.59,82,2.23,35.0,0.95,,0.0,23,0.62,31.0,0.84,90,2.45,33,0.89
G41704,Atzbach,958,799,19,780,233,29.87,74,9.48,294,37.69,48,6.15,73,9.35,24,3.07,7.0,0.89,,0.0,6,0.76,1.0,0.12,14,1.79,6,0.76
G41705,Aurach am Hongar,1460,1206,21,1185,268,22.61,257,21.68,413,34.85,67,5.65,92,7.76,33,2.78,16.0,1.35,,0.0,12,1.01,1.0,0.08,20,1.68,6,0.5
G41706,Berg im Attergau,878,724,11,713,273,38.28,75,10.51,237,33.23,37,5.18,53,7.43,11,1.54,4.0,0.56,,0.0,1,0.14,0.0,0.0,10,1.4,12,1.68
G41707,Desselbrunn,1475,1218,15,1203,360,29.92,250,20.78,384,31.92,66,5.48,79,6.56,19,1.57,10.0,0.83,,0.0,8,0.66,0.0,0.0,18,1.49,9,0.74
G41708,Fornach,783,654,15,639,233,36.46,57,8.92,219,34.27,29,4.53,46,7.19,19,2.97,3.0,0.46,,0.0,5,0.78,0.0,0.0,14,2.19,14,2.19
G41709,Frankenburg am Hausruck,3860,3070,53,3017,821,27.21,582,19.29,1068,35.39,137,4.54,201,6.66,93,3.08,28.0,0.92,,0.0,10,0.33,5.0,0.16,54,1.78,18,0.59
G41710,Frankenmarkt,2604,1920,46,1874,521,27.8,341,18.19,626,33.4,125,6.67,132,7.04,47,2.5,13.0,0.69,,0.0,7,0.37,4.0,0.21,38,2.02,20,1.06
G41711,Gampern,2418,2011,36,1975,639,32.35,331,16.75,596,30.17,131,6.63,162,8.2,48,2.43,15.0,0.75,,0.0,8,0.4,2.0,0.1,36,1.82,7,0.35
G41712,Innerschwand am Mondsee,977,773,15,758,271,35.75,81,10.68,227,29.94,66,8.7,58,7.65,18,2.37,8.0,1.05,,0.0,5,0.65,1.0,0.13,19,2.5,4,0.52
G41713,Lenzing,3804,2656,21,2635,420,15.93,774,29.37,969,36.77,160,6.07,151,5.73,54,2.04,18.0,0.68,,0.0,13,0.49,5.0,0.18,53,2.01,18,0.68
G41714,Manning,658,554,7,547,169,30.89,87,15.9,170,31.07,38,6.94,47,8.59,15,2.74,8.0,1.46,,0.0,1,0.18,1.0,0.18,9,1.64,2,0.36
G41715,Mondsee,2601,1843,19,1824,540,29.6,219,12.0,504,27.63,202,11.07,248,13.59,34,1.86,15.0,0.82,,0.0,5,0.27,1.0,0.05,51,2.79,5,0.27
G41716,Neukirchen an der Vöckla,2075,1702,18,1684,485,28.8,277,16.44,573,34.02,124,7.36,117,6.94,45,2.67,13.0,0.77,,0.0,12,0.71,2.0,0.11,20,1.18,16,0.95
G41717,Niederthalheim,856,657,21,636,190,29.87,72,11.32,213,33.49,49,7.7,58,9.11,17,2.67,13.0,2.04,,0.0,3,0.47,2.0,0.31,15,2.35,4,0.62
G41718,Nußdorf am Attersee,892,682,8,674,260,38.57,59,8.75,200,29.67,52,7.71,73,10.83,9,1.33,4.0,0.59,,0.0,3,0.44,0.0,0.0,9,1.33,5,0.74
G41719,Oberhofen am Irrsee,1297,1016,13,1003,306,30.5,155,15.45,343,34.19,68,6.77,80,7.97,9,0.89,6.0,0.59,,0.0,9,0.89,0.0,0.0,17,1.69,10,0.99
G41720,Oberndorf bei Schwanenstadt,1063,853,14,839,178,21.21,173,20.61,319,38.02,62,7.38,57,6.79,17,2.02,11.0,1.31,,0.0,4,0.47,1.0,0.11,16,1.9,1,0.11
G41721,Oberwang,1413,1123,38,1085,404,37.23,66,6.08,423,38.98,52,4.79,61,5.62,33,3.04,12.0,1.1,,0.0,9,0.82,0.0,0.0,14,1.29,11,1.01
G41722,Ottnang am Hausruck,3060,2369,40,2329,479,20.56,517,22.19,882,37.87,154,6.61,149,6.39,61,2.61,17.0,0.72,,0.0,14,0.6,1.0,0.04,35,1.5,20,0.85
G41723,Pfaffing,1245,984,19,965,227,23.52,232,24.04,307,31.81,56,5.8,84,8.7,28,2.9,8.0,0.82,,0.0,7,0.72,1.0,0.1,7,0.72,8,0.82
G41724,Pilsbach,525,459,8,451,130,28.82,92,20.39,118,26.16,47,10.42,41,9.09,8,1.77,7.0,1.55,,0.0,1,0.22,0.0,0.0,5,1.1,2,0.44
G41725,Pitzenberg,444,369,3,366,106,28.96,56,15.3,120,32.78,33,9.01,26,7.1,10,2.73,6.0,1.63,,0.0,2,0.54,1.0,0.27,4,1.09,2,0.54
G41726,Pöndorf,1860,1444,24,1420,415,29.22,209,14.71,612,43.09,49,3.45,69,4.85,26,1.83,6.0,0.42,,0.0,1,0.07,1.0,0.07,20,1.4,12,0.84
G41727,Puchkirchen am Trattberg,811,665,13,652,218,33.43,108,16.56,174,26.68,50,7.66,62,9.5,12,1.84,10.0,1.53,,0.0,4,0.61,0.0,0.0,11,1.68,3,0.46
G41728,Pühret,497,407,9,398,122,30.65,76,19.09,131,32.91,28,7.03,19,4.77,3,0.75,6.0,1.5,,0.0,2,0.5,0.0,0.0,8,2.01,3,0.75
G41729,Redleiten,422,308,4,304,71,23.35,48,15.78,147,48.35,3,0.98,18,5.92,7,2.3,3.0,0.98,,0.0,2,0.65,0.0,0.0,4,1.31,1,0.32
G41730,Redlham,1289,1039,18,1021,261,25.56,196,19.19,322,31.53,66,6.46,86,8.42,35,3.42,7.0,0.68,,0.0,13,1.27,1.0,0.09,24,2.35,10,0.97
G41731,Regau,5186,4092,56,4036,940,23.29,774,19.17,1390,34.44,349,8.64,319,7.9,82,2.03,61.0,1.51,,0.0,17,0.42,9.0,0.22,64,1.58,31,0.76
G41732,Rüstorf,1708,1338,20,1318,291,22.07,273,20.71,453,34.37,89,6.75,114,8.64,31,2.35,13.0,0.98,,0.0,9,0.68,2.0,0.15,33,2.5,10,0.75
G41733,Rutzenham,226,202,5,197,56,28.42,24,12.18,60,30.45,21,10.65,18,9.13,4,2.03,7.0,3.55,,0.0,2,1.01,0.0,0.0,4,2.03,1,0.5
G41734,St. Georgen im Attergau,3361,2596,36,2560,725,28.32,377,14.72,873,34.1,200,7.81,220,8.59,76,2.96,24.0,0.93,,0.0,15,0.58,5.0,0.19,29,1.13,16,0.62
G41735,St. Lorenz,1982,1567,16,1551,524,33.78,168,10.83,455,29.33,145,9.34,177,11.41,37,2.38,13.0,0.83,,0.0,5,0.32,1.0,0.06,21,1.35,5,0.32
G41736,Schlatt,1083,822,9,813,237,29.15,154,18.94,237,29.15,69,8.48,61,7.5,22,2.7,5.0,0.61,,0.0,5,0.61,1.0,0.12,13,1.59,9,1.1
G41737,Schörfling am Attersee,2762,2196,31,2165,455,21.01,478,22.07,653,30.16,224,10.34,217,10.02,52,2.4,18.0,0.83,,0.0,19,0.87,3.0,0.13,37,1.7,9,0.41
G41738,Schwanenstadt,3057,2146,33,2113,452,21.39,447,21.15,709,33.55,205,9.7,142,6.72,43,2.03,22.0,1.04,,0.0,14,0.66,16.0,0.75,51,2.41,12,0.56
G41739,Seewalchen am Attersee,4575,3585,44,3541,829,23.41,733,20.7,1028,29.03,338,9.54,380,10.73,104,2.93,40.0,1.12,,0.0,12,0.33,1.0,0.02,58,1.63,18,0.5
G41740,Steinbach am Attersee,704,581,10,571,224,39.22,78,13.66,131,22.94,46,8.05,65,11.38,8,1.4,3.0,0.52,,0.0,2,0.35,1.0,0.17,10,1.75,3,0.52
G41741,Straß im Attergau,1175,951,13,938,307,32.72,110,11.72,335,35.71,56,5.97,74,7.88,21,2.23,9.0,0.95,,0.0,2,0.21,0.0,0.0,16,1.7,8,0.85
G41742,Tiefgraben,3101,2396,30,2366,796,33.64,251,10.6,692,29.24,204,8.62,256,10.81,68,2.87,23.0,0.97,,0.0,13,0.54,2.0,0.08,48,2.02,13,0.54
G41743,Timelkam,4470,3378,49,3329,743,22.31,881,26.46,984,29.55,279,8.38,232,6.96,71,2.13,31.0,0.93,,0.0,21,0.63,13.0,0.39,58,1.74,16,0.48
G41744,Ungenach,1158,980,12,968,294,30.37,115,11.88,310,32.02,107,11.05,74,7.64,24,2.47,7.0,0.72,,0.0,7,0.72,3.0,0.3,13,1.34,14,1.44
G41745,Unterach am Attersee,1196,892,11,881,304,34.5,145,16.45,229,25.99,78,8.85,77,8.74,24,2.72,4.0,0.45,,0.0,3,0.34,0.0,0.0,8,0.9,9,1.02
G41746,Vöcklabruck,8796,6273,56,6217,1390,22.35,1539,24.75,1563,25.14,716,11.51,595,9.57,120,1.93,53.0,0.85,,0.0,32,0.51,19.0,0.3,150,2.41,40,0.64
G41747,Vöcklamarkt,3773,2849,40,2809,786,27.98,483,17.19,890,31.68,248,8.82,208,7.4,82,2.91,28.0,0.99,,0.0,18,0.64,5.0,0.17,39,1.38,22,0.78
G41748,Weißenkirchen im Attergau,746,632,11,621,223,35.9,51,8.21,242,38.96,48,7.72,27,4.34,11,1.77,3.0,0.48,,0.0,4,0.64,1.0,0.16,10,1.61,1,0.16
G41749,Weyregg am Attersee,1307,1038,10,1028,341,33.17,146,14.2,242,23.54,130,12.64,111,10.79,18,1.75,13.0,1.26,,0.0,10,0.97,1.0,0.09,12,1.16,4,0.38
G41750,Wolfsegg am Hausruck,1494,1217,19,1198,299,24.95,274,22.87,352,29.38,111,9.26,81,6.76,33,2.75,8.0,0.66,,0.0,8,0.66,0.0,0.0,28,2.33,4,0.33
G41751,Zell am Moos,1256,954,7,947,351,37.06,97,10.24,302,31.89,68,7.18,83,8.76,16,1.68,5.0,0.52,,0.0,6,0.63,0.0,0.0,14,1.47,5,0.52
G41752,Zell am Pettenfirst,965,766,12,754,229,30.37,121,16.04,207,27.45,70,9.28,60,7.95,19,2.51,13.0,1.72,,0.0,13,1.72,0.0,0.0,14,1.85,8,1.06
G41799,Wahlkarten - Vöcklabruck,0,3719,62,3657,832,22.75,747,20.42,837,22.88,429,11.73,454,12.41,130,3.55,50.0,1.36,,0.0,32,0.87,5.0,0.13,108,2.95,33,0.9
G41800,Wels-Land,55762,45405,493,44912,11449,25.49,8277,18.42,15232,33.91,3241,7.21,4113,9.15,868,1.93,315.0,0.7,,0.0,272,0.6,102.0,0.22,740,1.64,303,0.67
G41801,Aichkirchen,456,397,8,389,122,31.36,34,8.74,148,38.04,20,5.14,37,9.51,8,2.05,5.0,1.28,,0.0,3,0.77,0.0,0.0,8,2.05,4,1.02
G41802,Bachmanning,511,425,2,423,121,28.6,94,22.22,119,28.13,37,8.74,24,5.67,11,2.6,1.0,0.23,,0.0,3,0.7,3.0,0.7,5,1.18,5,1.18
G41803,Bad Wimsbach-Neydharting,1958,1619,23,1596,478,29.94,299,18.73,496,31.07,108,6.76,113,7.08,28,1.75,10.0,0.62,,0.0,13,0.81,2.0,0.12,38,2.38,11,0.68
G41804,Buchkirchen,3340,2749,27,2722,676,24.83,567,20.83,915,33.61,184,6.75,243,8.92,43,1.57,16.0,0.58,,0.0,18,0.66,5.0,0.18,36,1.32,19,0.69
G41805,Eberstalzell,2164,1734,18,1716,490,28.55,175,10.19,737,42.94,86,5.01,119,6.93,37,2.15,18.0,1.04,,0.0,12,0.69,3.0,0.17,28,1.63,11,0.64
G41806,Edt bei Lambach,1778,1451,12,1439,434,30.15,258,17.92,477,33.14,98,6.81,101,7.01,31,2.15,8.0,0.55,,0.0,4,0.27,4.0,0.27,18,1.25,6,0.41
G41807,Fischlham,1090,922,12,910,296,32.52,130,14.28,308,33.84,47,5.16,84,9.23,19,2.08,5.0,0.54,,0.0,1,0.1,1.0,0.1,13,1.42,6,0.65
G41808,Gunskirchen,4730,3793,37,3756,949,25.26,779,20.74,1248,33.22,262,6.97,307,8.17,78,2.07,18.0,0.47,,0.0,23,0.61,17.0,0.45,51,1.35,24,0.63
G41809,Holzhausen,837,713,3,710,167,23.52,127,17.88,246,34.64,53,7.46,74,10.42,23,3.23,3.0,0.42,,0.0,2,0.28,0.0,0.0,12,1.69,3,0.42
G41810,Krenglbach,2512,2128,25,2103,541,25.72,439,20.87,609,28.95,187,8.89,226,10.74,40,1.9,9.0,0.42,,0.0,8,0.38,4.0,0.19,31,1.47,9,0.42
G41811,Lambach,2474,1752,15,1737,430,24.75,364,20.95,571,32.87,133,7.65,130,7.48,28,1.61,6.0,0.34,,0.0,14,0.8,4.0,0.23,44,2.53,13,0.74
G41812,Marchtrenk,10018,7501,80,7421,1336,18.0,1704,22.96,2820,38.0,448,6.03,637,8.58,147,1.98,71.0,0.95,,0.0,48,0.64,23.0,0.3,129,1.73,58,0.78
G41813,Neukirchen bei Lambach,749,583,4,579,190,32.81,83,14.33,174,30.05,43,7.42,60,10.36,8,1.38,6.0,1.03,,0.0,2,0.34,0.0,0.0,8,1.38,5,0.86
G41814,Offenhausen,1242,989,17,972,307,31.58,145,14.91,307,31.58,67,6.89,102,10.49,13,1.33,12.0,1.23,,0.0,4,0.41,0.0,0.0,11,1.13,4,0.41
G41815,Pennewang,777,643,3,640,230,35.93,79,12.34,197,30.78,36,5.62,63,9.84,13,2.03,6.0,0.93,,0.0,5,0.78,0.0,0.0,8,1.25,3,0.46
G41816,Pichl bei Wels,2187,1787,15,1772,456,25.73,323,18.22,601,33.91,133,7.5,164,9.25,31,1.74,9.0,0.5,,0.0,9,0.5,6.0,0.33,28,1.58,12,0.67
G41817,Sattledt,1928,1466,22,1444,428,29.63,224,15.51,513,35.52,79,5.47,134,9.27,21,1.45,7.0,0.48,,0.0,7,0.48,2.0,0.13,21,1.45,8,0.55
G41818,Schleißheim,1071,924,15,909,258,28.38,134,14.74,275,30.25,90,9.9,100,11.0,11,1.21,5.0,0.55,,0.0,11,1.21,0.0,0.0,17,1.87,8,0.88
G41819,Sipbachzell,1643,1348,10,1338,407,30.41,188,14.05,452,33.78,86,6.42,133,9.94,27,2.01,9.0,0.67,,0.0,8,0.59,1.0,0.07,20,1.49,7,0.52
G41820,Stadl-Paura,3558,2583,39,2544,510,20.04,562,22.09,923,36.28,187,7.35,176,6.91,68,2.67,23.0,0.9,,0.0,13,0.51,3.0,0.11,56,2.2,23,0.9
G41821,Steinerkirchen an der Traun,1928,1601,21,1580,502,31.77,164,10.37,587,37.15,106,6.7,144,9.11,32,2.02,6.0,0.37,,0.0,5,0.31,0.0,0.0,18,1.13,16,1.01
G41822,Steinhaus,2089,1711,12,1699,441,25.95,254,14.94,654,38.49,111,6.53,160,9.41,33,1.94,11.0,0.64,,0.0,8,0.47,1.0,0.05,18,1.05,8,0.47
G41823,Thalheim bei Wels,4027,3273,30,3243,842,25.96,530,16.34,885,27.28,389,11.99,400,12.33,44,1.35,28.0,0.86,,0.0,24,0.74,14.0,0.43,70,2.15,17,0.52
G41824,Weißkirchen an der Traun,2695,2232,26,2206,573,25.97,441,19.99,721,32.68,132,5.98,212,9.61,48,2.17,14.0,0.63,,0.0,16,0.72,1.0,0.04,35,1.58,13,0.58
G41899,Wahlkarten - Wels-Land,0,1081,17,1064,265,24.9,180,16.91,249,23.4,119,11.18,170,15.97,26,2.44,9.0,0.84,,0.0,11,1.03,8.0,0.75,17,1.59,10,0.93
G50000,Salzburg,391220,306563,3124,303439,95736,31.55,50955,16.79,83981,27.67,25883,8.52,27376,9.02,4635,1.52,1279.0,0.42,,0.0,1585,0.52,,0.0,10081,3.32,1928,0.63
G50099,Wahlkarten - Salzburg,0,6,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0,0.0,,0.0,0,0.0,0,0.0
G5A000,Salzburg Stadt,94828,68260,524,67736,17585,25.96,14089,20.79,14176,20.92,9134,13.48,6758,9.97,761,1.12,226.0,0.33,,0.0,455,0.67,,0.0,4207,6.21,345,0.5
G5A099,Wahlkarten - Salzburg Stadt,0,564,6,558,155,27.77,133,23.83,69,12.36,80,14.33,73,13.08,8,1.43,2.0,0.35,,0.0,4,0.71,,0.0,33,5.91,1,0.17
G5B000,Flachgau/Tennengau,158777,127943,1307,126636,40513,31.99,18962,14.97,35581,28.09,11411,9.01,11916,9.4,2102,1.65,655.0,0.51,,0.0,753,0.59,,0.0,3857,3.04,886,0.69
G5B099,Wahlkarten - Flachgau/Tennengau,0,349,3,346,56,16.18,70,20.23,56,16.18,66,19.07,62,17.91,6,1.73,4.0,1.15,,0.0,5,1.44,,0.0,18,5.2,3,0.86
G5C000,Lungau/Pinzgau/Pongau,137615,110354,1287,109067,37638,34.5,17904,16.41,34224,31.37,5338,4.89,8702,7.97,1772,1.62,398.0,0.36,,0.0,377,0.34,,0.0,2017,1.84,697,0.63
G5C099,Wahlkarten - Lungau/Pinzgau/Pongau,0,279,1,278,65,23.38,42,15.1,48,17.26,48,17.26,54,19.42,4,1.43,1.0,0.35,,0.0,3,1.07,,0.0,12,4.31,1,0.35
G50100,Salzburg Stadt,94828,67696,518,67178,17430,25.94,13956,20.77,14107,20.99,9054,13.47,6685,9.95,753,1.12,224.0,0.33,,0.0,451,0.67,,0.0,4174,6.21,344,0.51
G50101,Salzburg,94828,65477,511,64966,16981,26.13,13460,20.71,13831,21.28,8621,13.27,6348,9.77,720,1.1,217.0,0.33,,0.0,442,0.68,,0.0,4012,6.17,334,0.51
G50199,Wahlkarten - Salzburg Stadt,0,2219,7,2212,449,20.29,496,22.42,276,12.47,433,19.57,337,15.23,33,1.49,7.0,0.31,,0.0,9,0.4,,0.0,162,7.32,10,0.45
G50200,Hallein,43464,34759,370,34389,10832,31.49,5793,16.84,9773,28.41,2892,8.4,2946,8.56,558,1.62,145.0,0.42,,0.0,201,0.58,,0.0,1004,2.91,245,0.71
G50201,Abtenau,4513,3777,50,3727,1473,39.52,537,14.4,1090,29.24,164,4.4,309,8.29,50,1.34,9.0,0.24,,0.0,12,0.32,,0.0,51,1.36,32,0.85
G50202,Adnet,2895,2342,31,2311,841,36.39,314,13.58,652,28.21,186,8.04,196,8.48,35,1.51,6.0,0.25,,0.0,9,0.38,,0.0,49,2.12,23,0.99
G50203,Annaberg-Lungötz,1679,1412,18,1394,596,42.75,229,16.42,412,29.55,38,2.72,72,5.16,13,0.93,5.0,0.35,,0.0,7,0.5,,0.0,15,1.07,7,0.5
G50204,Golling an der Salzach,3103,2482,20,2462,691,28.06,475,19.29,694,28.18,202,8.2,247,10.03,44,1.78,8.0,0.32,,0.0,15,0.6,,0.0,71,2.88,15,0.6
G50205,Hallein,13763,9522,95,9427,2212,23.46,2117,22.45,2666,28.28,937,9.93,790,8.38,136,1.44,50.0,0.53,,0.0,53,0.56,,0.0,408,4.32,58,0.61
G50206,Krispl,710,635,6,629,258,41.01,79,12.55,202,32.11,25,3.97,34,5.4,15,2.38,4.0,0.63,,0.0,2,0.31,,0.0,5,0.79,5,0.79
G50207,Kuchl,5425,4354,43,4311,1446,33.54,555,12.87,1266,29.36,384,8.9,381,8.83,86,1.99,17.0,0.39,,0.0,36,0.83,,0.0,110,2.55,30,0.69
G50208,Oberalm,3215,2591,26,2565,805,31.38,439,17.11,598,23.31,318,12.39,247,9.62,40,1.55,13.0,0.5,,0.0,12,0.46,,0.0,80,3.11,13,0.5
G50209,Puch bei Hallein,3450,2742,17,2725,863,31.66,459,16.84,619,22.71,317,11.63,270,9.9,61,2.23,13.0,0.47,,0.0,20,0.73,,0.0,85,3.11,18,0.66
G50210,Rußbach am Paß Gschütt,620,515,7,508,193,37.99,99,19.48,149,29.33,13,2.55,26,5.11,5,0.98,0.0,0.0,,0.0,5,0.98,,0.0,14,2.75,4,0.78
G50211,Sankt Koloman,1391,1206,15,1191,480,40.3,75,6.29,481,40.38,41,3.44,75,6.29,9,0.75,5.0,0.41,,0.0,4,0.33,,0.0,12,1.0,9,0.75
G50212,Scheffau am Tennengebirge,1153,984,15,969,337,34.77,96,9.9,359,37.04,47,4.85,69,7.12,24,2.47,5.0,0.51,,0.0,6,0.61,,0.0,12,1.23,14,1.44
G50213,Bad Vigaun,1547,1275,18,1257,404,32.14,160,12.72,413,32.85,89,7.08,103,8.19,26,2.06,5.0,0.39,,0.0,9,0.71,,0.0,40,3.18,8,0.63
G50299,Wahlkarten - Hallein,0,922,9,913,233,25.52,159,17.41,172,18.83,131,14.34,127,13.91,14,1.53,5.0,0.54,,0.0,11,1.2,,0.0,52,5.69,9,0.98
G50300,Salzburg-Umgebung,115313,92835,934,91901,29625,32.23,13099,14.25,25752,28.02,8453,9.19,8908,9.69,1538,1.67,506.0,0.55,,0.0,547,0.59,,0.0,2835,3.08,638,0.69
G50301,Anif,3082,2368,18,2350,807,34.34,300,12.76,552,23.48,268,11.4,291,12.38,35,1.48,6.0,0.25,,0.0,21,0.89,,0.0,58,2.46,12,0.51
G50302,Anthering,2858,2309,22,2287,835,36.51,254,11.1,606,26.49,241,10.53,193,8.43,47,2.05,11.0,0.48,,0.0,11,0.48,,0.0,68,2.97,21,0.91
G50303,Bergheim,3976,3168,25,3143,1162,36.97,422,13.42,723,23.0,349,11.1,313,9.95,38,1.2,9.0,0.28,,0.0,19,0.6,,0.0,89,2.83,19,0.6
G50304,Berndorf bei Salzburg,1380,1049,13,1036,368,35.52,128,12.35,309,29.82,64,6.17,91,8.78,24,2.31,7.0,0.67,,0.0,12,1.15,,0.0,23,2.22,10,0.96
G50305,Bürmoos,3534,2608,26,2582,479,18.55,767,29.7,779,30.17,182,7.04,180,6.97,39,1.51,13.0,0.5,,0.0,13,0.5,,0.0,108,4.18,22,0.85
G50306,Dorfbeuern,1208,979,21,958,364,37.99,109,11.37,298,31.1,76,7.93,65,6.78,11,1.14,6.0,0.62,,0.0,6,0.62,,0.0,20,2.08,3,0.31
G50307,Ebenau,1093,882,14,868,317,36.52,110,12.67,251,28.91,76,8.75,72,8.29,11,1.26,3.0,0.34,,0.0,3,0.34,,0.0,19,2.18,6,0.69
G50308,Elixhausen,2355,1850,20,1830,673,36.77,243,13.27,412,22.51,170,9.28,204,11.14,24,1.31,18.0,0.98,,0.0,21,1.14,,0.0,52,2.84,13,0.71
G50309,Elsbethen,4086,3261,25,3236,1161,35.87,395,12.2,748,23.11,400,12.36,337,10.41,46,1.42,13.0,0.4,,0.0,20,0.61,,0.0,102,3.15,14,0.43
G50310,Eugendorf,5371,4249,45,4204,1434,34.11,556,13.22,1180,28.06,362,8.61,387,9.2,74,1.76,23.0,0.54,,0.0,28,0.66,,0.0,132,3.13,28,0.66
G50311,Faistenau,2373,1951,21,1930,634,32.84,179,9.27,714,36.99,131,6.78,158,8.18,31,1.6,13.0,0.67,,0.0,10,0.51,,0.0,48,2.48,12,0.62
G50312,Fuschl am See,1164,938,10,928,360,38.79,94,10.12,230,24.78,88,9.48,111,11.96,14,1.5,4.0,0.43,,0.0,3,0.32,,0.0,15,1.61,9,0.96
G50313,Göming,605,531,4,527,218,41.36,47,8.91,147,27.89,43,8.15,46,8.72,7,1.32,0.0,0.0,,0.0,1,0.18,,0.0,9,1.7,9,1.7
G50314,Grödig,5020,3817,35,3782,1001,26.46,749,19.8,983,25.99,327,8.64,415,10.97,67,1.77,14.0,0.37,,0.0,21,0.55,,0.0,173,4.57,32,0.84
G50315,Großgmain,1823,1406,4,1402,447,31.88,188,13.4,427,30.45,128,9.12,132,9.41,20,1.42,14.0,0.99,,0.0,9,0.64,,0.0,31,2.21,6,0.42
G50316,Hallwang,3202,2576,30,2546,829,32.56,372,14.61,641,25.17,255,10.01,285,11.19,42,1.64,15.0,0.58,,0.0,15,0.58,,0.0,84,3.29,8,0.31
G50317,Henndorf am Wallersee,3877,3043,25,3018,997,33.03,413,13.68,846,28.03,258,8.54,306,10.13,52,1.72,16.0,0.53,,0.0,19,0.62,,0.0,86,2.84,25,0.82
G50318,Hintersee,360,313,7,306,118,38.56,35,11.43,108,35.29,8,2.61,28,9.15,6,1.96,0.0,0.0,,0.0,0,0.0,,0.0,0,0.0,3,0.98
G50319,Hof bei Salzburg,2646,2065,27,2038,625,30.66,244,11.97,580,28.45,223,10.94,223,10.94,42,2.06,12.0,0.58,,0.0,14,0.68,,0.0,59,2.89,16,0.78
G50320,Köstendorf,2096,1644,24,1620,595,36.72,209,12.9,473,29.19,131,8.08,124,7.65,21,1.29,9.0,0.55,,0.0,12,0.74,,0.0,37,2.28,9,0.55
G50321,Koppl,2758,2219,27,2192,726,33.12,253,11.54,594,27.09,246,11.22,227,10.35,32,1.45,17.0,0.77,,0.0,10,0.45,,0.0,65,2.96,22,1.0
G50322,Lamprechtshausen,2972,2333,27,2306,704,30.52,329,14.26,745,32.3,177,7.67,206,8.93,51,2.21,10.0,0.43,,0.0,7,0.3,,0.0,59,2.55,18,0.78
G50323,Mattsee,2588,2088,17,2071,770,37.18,273,13.18,463,22.35,203,9.8,218,10.52,43,2.07,13.0,0.62,,0.0,15,0.72,,0.0,61,2.94,12,0.57
G50324,Neumarkt am Wallersee,4579,3423,31,3392,812,23.93,622,18.33,1135,33.46,304,8.96,338,9.96,41,1.2,21.0,0.61,,0.0,27,0.79,,0.0,76,2.24,16,0.47
G50325,Nußdorf am Haunsberg,1959,1604,25,1579,518,32.8,199,12.6,473,29.95,130,8.23,133,8.42,32,2.02,5.0,0.31,,0.0,9,0.56,,0.0,60,3.79,20,1.26
G50326,Oberndorf bei Salzburg,4020,2979,24,2955,722,24.43,619,20.94,822,27.81,299,10.11,260,8.79,54,1.82,14.0,0.47,,0.0,15,0.5,,0.0,138,4.67,12,0.4
G50327,Obertrum am See,3770,2947,28,2919,1118,38.3,319,10.92,759,26.0,257,8.8,282,9.66,58,1.98,21.0,0.71,,0.0,13,0.44,,0.0,76,2.6,16,0.54
G50328,Plainfeld,1001,819,5,814,306,37.59,90,11.05,239,29.36,47,5.77,82,10.07,17,2.08,5.0,0.61,,0.0,1,0.12,,0.0,24,2.94,3,0.36
G50329,Sankt Georgen bei Salzburg,2443,1942,20,1922,558,29.03,292,15.19,680,35.37,120,6.24,144,7.49,32,1.66,16.0,0.83,,0.0,13,0.67,,0.0,45,2.34,22,1.14
G50330,Sankt Gilgen,2826,2236,22,2214,861,38.88,261,11.78,590,26.64,178,8.03,219,9.89,31,1.4,7.0,0.31,,0.0,9,0.4,,0.0,48,2.16,10,0.45
G50331,Schleedorf,862,702,9,693,226,32.61,65,9.37,277,39.97,35,5.05,44,6.34,12,1.73,1.0,0.14,,0.0,10,1.44,,0.0,17,2.45,6,0.86
G50332,Seeham,1521,1215,16,1199,456,38.03,123,10.25,312,26.02,109,9.09,118,9.84,24,2.0,12.0,1.0,,0.0,6,0.5,,0.0,29,2.41,10,0.83
G50335,Straßwalchen,5706,4444,62,4382,1318,30.07,660,15.06,1571,35.85,253,5.77,331,7.55,64,1.46,17.0,0.38,,0.0,20,0.45,,0.0,117,2.67,31,0.7
G50336,Strobl,2866,2213,18,2195,757,34.48,354,16.12,560,25.51,189,8.61,202,9.2,44,2.0,11.0,0.5,,0.0,18,0.82,,0.0,40,1.82,20,0.91
