GKZ,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,ÖVP,%,SPÖ,%.1,FPÖ,%.2,GRÜNE,%.3,NEOS,%.4,BIER,%.5,MFG,%.6,BGE,%.7,LMP,%.8,GAZA,%.9,KPÖ,%.10,KEINE,%.11
G31620,Hausbrunn,660,546,7,539,132,24.48,143,26.53,209,38.77,9,1.66,21,3.89,10,1.85,2.0,0.37,,0.0,3,0.55,0.0,0.0,6,1.11,4,0.74
G31621,Herrnbaumgarten,741,618,11,607,282,46.45,57,9.39,184,30.31,26,4.28,36,5.93,5,0.82,3.0,0.49,,0.0,2,0.32,0.0,0.0,8,1.31,4,0.65
G31622,Hochleithen,924,762,7,755,286,37.88,138,18.27,192,25.43,37,4.9,63,8.34,14,1.85,2.0,0.26,,0.0,7,0.92,0.0,0.0,11,1.45,5,0.66
G31627,Kreuttal,1198,1016,10,1006,337,33.49,222,22.06,217,21.57,74,7.35,104,10.33,26,2.58,1.0,0.09,,0.0,10,0.99,1.0,0.09,9,0.89,5,0.49
G31628,Kreuzstetten,1344,1119,9,1110,290,26.12,245,22.07,301,27.11,108,9.72,78,7.02,25,2.25,9.0,0.81,,0.0,14,1.26,0.0,0.0,30,2.7,10,0.9
G31629,Laa an der Thaya,5041,3993,57,3936,1246,31.65,687,17.45,1350,34.29,209,5.3,263,6.68,74,1.88,11.0,0.27,,0.0,6,0.15,3.0,0.07,72,1.82,15,0.38
G31630,Ladendorf,1877,1468,16,1452,478,32.92,261,17.97,424,29.2,100,6.88,112,7.71,46,3.16,3.0,0.2,,0.0,6,0.41,0.0,0.0,16,1.1,6,0.41
G31633,Mistelbach,9362,7327,81,7246,2266,31.27,1345,18.56,2082,28.73,527,7.27,626,8.63,193,2.66,29.0,0.4,,0.0,33,0.45,7.0,0.09,91,1.25,47,0.64
G31634,Neudorf im Weinviertel,1099,870,12,858,278,32.4,129,15.03,309,36.01,35,4.07,53,6.17,30,3.49,3.0,0.34,,0.0,3,0.34,0.0,0.0,14,1.63,4,0.46
G31636,Niederleis,751,638,6,632,201,31.8,108,17.08,211,33.38,27,4.27,60,9.49,12,1.89,0.0,0.0,,0.0,1,0.15,0.0,0.0,10,1.58,2,0.31
G31642,Pillichsdorf,966,858,6,852,276,32.39,168,19.71,177,20.77,103,12.08,80,9.38,15,1.76,1.0,0.11,,0.0,8,0.93,2.0,0.23,20,2.34,2,0.23
G31644,Poysdorf,4310,3446,55,3391,1418,41.81,489,14.42,1010,29.78,141,4.15,195,5.75,66,1.94,16.0,0.47,,0.0,6,0.17,1.0,0.02,34,1.0,15,0.44
G31645,Rabensburg,837,651,9,642,90,14.01,222,34.57,275,42.83,17,2.64,24,3.73,2,0.31,0.0,0.0,,0.0,2,0.31,0.0,0.0,6,0.93,4,0.62
G31646,Schrattenberg,660,493,12,481,242,50.31,43,8.93,149,30.97,14,2.91,19,3.95,4,0.83,2.0,0.41,,0.0,2,0.41,0.0,0.0,5,1.03,1,0.2
