GKZ,Gebietsname,"Wahl-
berechtigte",Stimmen,Unnamed: 4,Unnamed: 5,Dr. Michael Brunner,%,Gerald Grosz,%.1,Dr. Walter Rosenkranz,%.2,Heinrich Staudinger,%.3,Dr. Alexander Van der Bellen,%.4,Dr. Tassilo Wallentin,%.5,Dr. Dominik Wlazny,%.6
,,,Abgegeb.,Ungültige,Gültige,,,,,,,,,,,,,,
G10510,Weichselbaum,591.0,365,11,354,6.0,1.694915254237288,37.0,10.451977401129943,88.0,24.858757062146893,7.0,1.977401129943503,149.0,42.090395480225986,45.0,12.711864406779661,22.0,6.214689265536723
G10511,Königsdorf,623.0,345,5,340,3.0,0.8823529411764706,18.0,5.294117647058823,96.0,28.235294117647058,4.0,1.1764705882352942,121.0,35.588235294117645,53.0,15.588235294117647,45.0,13.23529411764706
G10512,Mühlgraben,327.0,189,8,181,6.0,3.314917127071823,16.0,8.83977900552486,23.0,12.70718232044199,4.0,2.209944751381215,89.0,49.171270718232044,34.0,18.784530386740332,9.0,4.972375690607735
G10599,Wahlkarten - Jennersdorf,0.0,1149,8,1141,22.0,1.9281332164767746,77.0,6.748466257668712,199.0,17.440841367221736,10.0,0.8764241893076249,601.0,52.67309377738826,113.0,9.903593339176162,119.0,10.429447852760736
G10600,Mattersburg,31709.0,22370,685,21685,450.0,2.0751671662439475,1361.0,6.276227807240027,3365.0,15.517638920913074,217.0,1.000691722388748,11811.0,54.46622089001614,2425.0,11.18284528475905,2056.0,9.481208208439012
G10601,Draßburg,901.0,526,17,509,7.0,1.37524557956778,25.0,4.911591355599214,65.0,12.770137524557956,2.0,0.3929273084479371,306.0,60.11787819253438,54.0,10.609037328094303,50.0,9.823182711198427
G10602,Forchtenstein,2252.0,1325,37,1288,44.0,3.4161490683229814,68.0,5.279503105590062,232.0,18.012422360248447,15.0,1.1645962732919255,684.0,53.105590062111794,161.0,12.5,84.0,6.521739130434782
G10603,Hirm,768.0,519,18,501,6.0,1.1976047904191618,40.0,7.984031936127744,60.0,11.976047904191617,7.0,1.3972055888223553,291.0,58.08383233532935,44.0,8.78243512974052,53.0,10.578842315369261
G10604,Loipersbach im Burgenland,944.0,614,26,588,10.0,1.7006802721088436,61.0,10.374149659863946,114.0,19.387755102040817,9.0,1.530612244897959,295.0,50.17006802721088,59.0,10.034013605442176,40.0,6.802721088435375
G10605,Marz,1630.0,1147,53,1094,15.0,1.3711151736745886,69.0,6.307129798903108,146.0,13.345521023765997,9.0,0.8226691042047531,642.0,58.68372943327239,132.0,12.065813528336381,81.0,7.40402193784278
G10606,Mattersburg,5727.0,3399,108,3291,56.0,1.7016104527499238,243.0,7.383773928896992,553.0,16.8034032209055,36.0,1.0938924339106655,1725.0,52.41567912488605,365.0,11.090853843816468,313.0,9.510786994834397
G10607,Neudörfl,3647.0,2194,48,2146,60.0,2.7958993476234855,182.0,8.480894687791238,413.0,19.24510717614166,22.0,1.0251630941286114,1034.0,48.182665424044735,203.0,9.45945945945946,232.0,10.81081081081081
G10608,Pöttelsdorf,634.0,383,9,374,3.0,0.8021390374331552,33.0,8.823529411764707,45.0,12.032085561497325,4.0,1.06951871657754,212.0,56.68449197860963,48.0,12.834224598930483,29.0,7.754010695187167
G10609,Pöttsching,2430.0,1559,32,1527,38.0,2.4885396201702688,72.0,4.715127701375246,209.0,13.686967910936476,22.0,1.4407334643091028,841.0,55.075311067452525,183.0,11.984282907662083,162.0,10.609037328094303
G10610,Rohrbach bei Mattersburg,2080.0,1367,75,1292,24.0,1.8575851393188854,75.0,5.8049535603715166,203.0,15.712074303405574,6.0,0.46439628482972134,715.0,55.34055727554179,145.0,11.222910216718267,124.0,9.597523219814242
G10611,Bad Sauerbrunn,1793.0,1107,19,1088,31.0,2.849264705882353,72.0,6.61764705882353,200.0,18.38235294117647,13.0,1.1948529411764706,541.0,49.724264705882355,113.0,10.386029411764707,118.0,10.845588235294118
G10612,Schattendorf,1889.0,1265,54,1211,14.0,1.1560693641618496,57.0,4.706853839801816,193.0,15.937241948802642,3.0,0.2477291494632535,678.0,55.98678777869529,148.0,12.22130470685384,118.0,9.744013212221304
G10613,Sieggraben,1001.0,651,27,624,9.0,1.4423076923076923,50.0,8.012820512820513,130.0,20.833333333333336,5.0,0.8012820512820512,256.0,41.02564102564102,114.0,18.269230769230766,60.0,9.615384615384617
G10614,Sigleß,954.0,634,11,623,11.0,1.7656500802568218,28.0,4.49438202247191,70.0,11.235955056179774,4.0,0.6420545746388443,368.0,59.069020866773684,66.0,10.593900481540931,76.0,12.199036918138042
G10615,Wiesen,2245.0,1390,32,1358,35.0,2.5773195876288657,87.0,6.4064801178203234,273.0,20.103092783505154,17.0,1.251840942562592,626.0,46.09720176730486,195.0,14.359351988217966,125.0,9.204712812960237
G10616,Antau,620.0,389,13,376,8.0,2.127659574468085,23.0,6.117021276595745,56.0,14.893617021276595,5.0,1.3297872340425532,201.0,53.45744680851063,48.0,12.76595744680851,35.0,9.308510638297872
